ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,05; 10,680161679;0,31;0,86;0,40; 1
1; 0,20; 10,290335505;0,31;0,86;0,40; 1
1; 0,40; 10,017634226;0,31;0,86;0,40; 1
1; 1,35; 10,740265488;0,31;0,86;0,40; 1
1; 1,45; 10,179022493;0,31;0,86;0,40; 1
1; 1,60; 10,756686393;0,31;0,86;0,40; 1
1; 1,75; 10,007601289;0,31;0,86;0,40; 1
1; 2,20; 10,739401763;0,31;0,86;0,40; 1
1; 2,65; 11,354970781;0,31;0,86;0,40; 1
1; 4,55; 12,921455939;0,31;0,86;0,40; 1
1; 4,60; 13,631564320;0,31;0,86;0,40; 1
1; 4,75; 13,119393648;0,31;0,86;0,40; 1
1; 5,05; 13,276939778;0,31;0,86;0,40; 1
1; 5,35; 12,835610898;0,31;0,86;0,40; 1
1; 5,50; 12,934963351;0,31;0,86;0,40; 1
1; 5,70; 13,644918739;0,31;0,86;0,40; 1
1; 6,05; 13,789887749;0,31;0,86;0,40; 1
1; 6,10; 13,793172281;0,31;0,86;0,40; 1
1; 6,50; 12,816203888;0,31;0,86;0,40; 1
1; 6,70; 14,241358142;0,31;0,86;0,40; 1
1; 6,85; 13,876682443;0,31;0,86;0,40; 1
1; 7,00; 13,516756277;0,31;0,86;0,40; 1
1; 7,35; 13,984892810;0,31;0,86;0,40; 1
1; 7,45; 13,377508599;0,31;0,86;0,40; 1
1; 7,90; 13,686836087;0,31;0,86;0,40; 1
1; 7,95; 14,193001733;0,31;0,86;0,40; 1
1; 8,00; 13,743714688;0,31;0,86;0,40; 1
1; 8,30; 14,631355821;0,31;0,86;0,40; 1
1; 8,55; 15,392737876;0,31;0,86;0,40; 1
1; 9,00; 15,110886888;0,31;0,86;0,40; 1
2; 0,05;  9,962422500;1,15;0,61;0,52; 1
2; 0,20;  9,897336326;1,15;0,61;0,52; 1
2; 0,40; 10,403292432;1,15;0,61;0,52; 1
2; 1,35; 11,666767795;1,15;0,61;0,52; 1
2; 1,45; 10,348656933;1,15;0,61;0,52; 1
2; 1,60; 11,273955173;1,15;0,61;0,52; 1
2; 1,75; 11,809780765;1,15;0,61;0,52; 1
2; 2,20; 10,872961241;1,15;0,61;0,52; 1
2; 2,65; 10,877869746;1,15;0,61;0,52; 1
2; 4,55; 11,702200566;1,15;0,61;0,52; 1
2; 4,60; 10,801911038;1,15;0,61;0,52; 1
2; 4,75; 11,434274722;1,15;0,61;0,52; 1
2; 5,05; 10,710225955;1,15;0,61;0,52; 1
2; 5,35; 11,666998276;1,15;0,61;0,52; 1
2; 5,50; 10,046573884;1,15;0,61;0,52; 1
2; 5,70; 10,601294289;1,15;0,61;0,52; 1
2; 6,05;  9,345968678;1,15;0,61;0,52; 1
2; 6,10;  9,432540804;1,15;0,61;0,52; 1
2; 6,50;  8,856494949;1,15;0,61;0,52; 1
2; 6,70;  8,638802534;1,15;0,61;0,52; 1
2; 6,85;  8,499529078;1,15;0,61;0,52; 1
2; 7,00;  8,901421635;1,15;0,61;0,52; 1
2; 7,35;  9,784381679;1,15;0,61;0,52; 1
2; 7,45;  9,049767591;1,15;0,61;0,52; 1
2; 7,90;  9,025846679;1,15;0,61;0,52; 1
2; 7,95;  9,800052982;1,15;0,61;0,52; 1
2; 8,00;  9,713700969;1,15;0,61;0,52; 1
2; 8,30; 10,804846010;1,15;0,61;0,52; 1
2; 8,55; 10,351370762;1,15;0,61;0,52; 1
2; 9,00;  9,774139145;1,15;0,61;0,52; 1
3; 0,05; 10,752370454;3,17;0,03;0,03; 1
3; 0,20; 10,919735274;3,17;0,03;0,03; 1
3; 0,40; 11,314744590;3,17;0,03;0,03; 1
3; 1,35; 12,686667396;3,17;0,03;0,03; 1
3; 1,45; 12,820244315;3,17;0,03;0,03; 1
3; 1,60; 12,810098380;3,17;0,03;0,03; 1
3; 1,75; 12,881642647;3,17;0,03;0,03; 1
3; 2,20; 13,454279011;3,17;0,03;0,03; 1
