ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,05; 1,068016e+01;0,31;0,86;0,40; 1
1; 0,20; 1,029034e+01;0,31;0,86;0,40; 1
1; 0,40; 1,001763e+01;0,31;0,86;0,40; 1
1; 1,35; 1,074027e+01;0,31;0,86;0,40; 1
1; 1,45; 1,017902e+01;0,31;0,86;0,40; 1
1; 1,60; 1,075669e+01;0,31;0,86;0,40; 1
1; 1,75; 1,000760e+01;0,31;0,86;0,40; 1
1; 2,20; 1,073940e+01;0,31;0,86;0,40; 1
1; 2,65; 1,135497e+01;0,31;0,86;0,40; 1
1; 4,55; 1,292146e+01;0,31;0,86;0,40; 1
1; 4,60; 1,363156e+01;0,31;0,86;0,40; 1
1; 4,75; 1,311939e+01;0,31;0,86;0,40; 1
1; 5,05; 1,327694e+01;0,31;0,86;0,40; 1
1; 5,35; 1,283561e+01;0,31;0,86;0,40; 1
1; 5,50; 1,293496e+01;0,31;0,86;0,40; 1
1; 5,70; 1,364492e+01;0,31;0,86;0,40; 1
1; 6,05; 1,378989e+01;0,31;0,86;0,40; 1
1; 6,10; 1,379317e+01;0,31;0,86;0,40; 1
1; 6,50; 1,281620e+01;0,31;0,86;0,40; 1
1; 6,70; 1,424136e+01;0,31;0,86;0,40; 1
1; 6,85; 1,387668e+01;0,31;0,86;0,40; 1
1; 7,00; 1,351676e+01;0,31;0,86;0,40; 1
1; 7,35; 1,398489e+01;0,31;0,86;0,40; 1
1; 7,45; 1,337751e+01;0,31;0,86;0,40; 1
1; 7,90; 1,368684e+01;0,31;0,86;0,40; 1
1; 7,95; 1,419300e+01;0,31;0,86;0,40; 1
1; 8,00; 1,374371e+01;0,31;0,86;0,40; 1
1; 8,30; 1,463136e+01;0,31;0,86;0,40; 1
1; 8,55; 1,539274e+01;0,31;0,86;0,40; 1
1; 9,00; 1,511089e+01;0,31;0,86;0,40; 1
2; 0,05; 9,483008e+00;0,31;0,86;0,40; 1
2; 0,20; 9,734501e+00;0,31;0,86;0,40; 1
2; 0,40; 9,252942e+00;0,31;0,86;0,40; 1
2; 1,35; 9,769551e+00;0,31;0,86;0,40; 1
2; 1,45; 1,035030e+01;0,31;0,86;0,40; 1
2; 1,60; 1,052184e+01;0,31;0,86;0,40; 1
2; 1,75; 1,043684e+01;0,31;0,86;0,40; 1
2; 2,20; 1,006264e+01;0,31;0,86;0,40; 1
2; 2,65; 1,134363e+01;0,31;0,86;0,40; 1
2; 4,55; 1,289621e+01;0,31;0,86;0,40; 1
2; 4,60; 1,279020e+01;0,31;0,86;0,40; 1
2; 4,75; 1,236927e+01;0,31;0,86;0,40; 1
2; 5,05; 1,132699e+01;0,31;0,86;0,40; 1
2; 5,35; 1,242061e+01;0,31;0,86;0,40; 1
2; 5,50; 1,263993e+01;0,31;0,86;0,40; 1
2; 5,70; 1,247414e+01;0,31;0,86;0,40; 1
2; 6,05; 1,268106e+01;0,31;0,86;0,40; 1
2; 6,10; 1,282285e+01;0,31;0,86;0,40; 1
2; 6,50; 1,282512e+01;0,31;0,86;0,40; 1
2; 6,70; 1,371994e+01;0,31;0,86;0,40; 1
2; 6,85; 1,355949e+01;0,31;0,86;0,40; 1
2; 7,00; 1,306118e+01;0,31;0,86;0,40; 1
2; 7,35; 1,458008e+01;0,31;0,86;0,40; 1
2; 7,45; 1,464922e+01;0,31;0,86;0,40; 1
2; 7,90; 1,514248e+01;0,31;0,86;0,40; 1
2; 7,95; 1,422021e+01;0,31;0,86;0,40; 1
2; 8,00; 1,472996e+01;0,31;0,86;0,40; 1
2; 8,30; 1,564555e+01;0,31;0,86;0,40; 1
2; 8,55; 1,576738e+01;0,31;0,86;0,40; 1
2; 9,00; 1,652576e+01;0,31;0,86;0,40; 1
3; 0,05; 1,133358e+01;0,31;0,86;0,40; 1
3; 0,20; 9,903369e+00;0,31;0,86;0,40; 1
3; 0,40; 9,263123e+00;0,31;0,86;0,40; 1
3; 1,35; 1,046001e+01;0,31;0,86;0,40; 1
3; 1,45; 1,018254e+01;0,31;0,86;0,40; 1
3; 1,60; 1,081923e+01;0,31;0,86;0,40; 1
3; 1,75; 1,052136e+01;0,31;0,86;0,40; 1
3; 2,20; 1,241728e+01;0,31;0,86;0,40; 1
3; 2,65; 1,213528e+01;0,31;0,86;0,40; 1
3; 4,55; 1,246395e+01;0,31;0,86;0,40; 1
3; 4,60; 1,256337e+01;0,31;0,86;0,40; 1
3; 4,75; 1,289860e+01;0,31;0,86;0,40; 1
3; 5,05; 1,244472e+01;0,31;0,86;0,40; 1
3; 5,35; 1,163144e+01;0,31;0,86;0,40; 1
3; 5,50; 1,223152e+01;0,31;0,86;0,40; 1
3; 5,70; 1,249020e+01;0,31;0,86;0,40; 1
3; 6,05; 1,217143e+01;0,31;0,86;0,40; 1
