ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,05; 10,680161679;0,31;0,86;0,40; 1
1; 0,20; 10,290335505;0,31;0,86;0,40; 1
1; 0,40; 10,017634226;0,31;0,86;0,40; 1
1; 1,35; 10,740265488;0,31;0,86;0,40; 1
1; 1,45; 10,179022493;0,31;0,86;0,40; 1
1; 1,60; 10,756686393;0,31;0,86;0,40; 1
1; 1,75; 10,007601289;0,31;0,86;0,40; 1
1; 2,20; 10,739401763;0,31;0,86;0,40; 1
1; 2,65; 11,354970781;0,31;0,86;0,40; 1
1; 4,55; 12,921455939;0,31;0,86;0,40; 1
1; 4,60; 13,631564320;0,31;0,86;0,40; 1
1; 4,75; 13,119393648;0,31;0,86;0,40; 1
1; 5,05; 13,276939778;0,31;0,86;0,40; 1
1; 5,35; 12,835610898;0,31;0,86;0,40; 1
1; 5,50; 12,934963351;0,31;0,86;0,40; 1
1; 5,70; 13,644918739;0,31;0,86;0,40; 1
1; 6,05; 13,789887749;0,31;0,86;0,40; 1
1; 6,10; 13,793172281;0,31;0,86;0,40; 1
1; 6,50; 12,816203888;0,31;0,86;0,40; 1
1; 6,70; 14,241358142;0,31;0,86;0,40; 1
1; 6,85; 13,876682443;0,31;0,86;0,40; 1
1; 7,00; 13,516756277;0,31;0,86;0,40; 1
1; 7,35; 13,984892810;0,31;0,86;0,40; 1
1; 7,45; 13,377508599;0,31;0,86;0,40; 1
1; 7,90; 13,686836087;0,31;0,86;0,40; 1
1; 7,95; 14,193001733;0,31;0,86;0,40; 1
1; 8,00; 13,743714688;0,31;0,86;0,40; 1
1; 8,30; 14,631355821;0,31;0,86;0,40; 1
1; 8,55; 15,392737876;0,31;0,86;0,40; 1
1; 9,00; 15,110886888;0,31;0,86;0,40; 1
2; 0,00; 11,705776054;1,60;1,81;0,20; 1
2; 0,10; 11,381196916;1,60;1,81;0,20; 1
2; 1,05; 12,226522706;1,60;1,81;0,20; 1
2; 1,30; 12,338127585;1,60;1,81;0,20; 1
2; 2,30; 12,944602156;1,60;1,81;0,20; 1
2; 2,40; 12,503486549;1,60;1,81;0,20; 1
2; 2,60; 12,816561215;1,60;1,81;0,20; 1
2; 2,80; 13,122985547;1,60;1,81;0,20; 1
2; 2,90; 13,024991394;1,60;1,81;0,20; 1
2; 3,30; 13,076508341;1,60;1,81;0,20; 1
2; 3,40; 13,473250938;1,60;1,81;0,20; 1
2; 4,30; 12,250258837;1,60;1,81;0,20; 1
2; 4,70; 11,652939154;1,60;1,81;0,20; 1
2; 6,00; 11,768060400;1,60;1,81;0,20; 1
2; 6,20; 11,698865295;1,60;1,81;0,20; 1
2; 6,55; 12,266622625;1,60;1,81;0,20; 1
2; 6,80; 12,346974985;1,60;1,81;0,20; 1
2; 6,85; 13,025994776;1,60;1,81;0,20; 1
2; 7,25; 13,226134655;1,60;1,81;0,20; 1
2; 7,35; 13,338449403;1,60;1,81;0,20; 1
2; 8,05; 14,755960671;1,60;1,81;0,20; 1
2; 8,25; 15,347654582;1,60;1,81;0,20; 1
2; 8,40; 15,477738033;1,60;1,81;0,20; 1
2; 8,45; 15,226037857;1,60;1,81;0,20; 1
2; 8,65; 15,913422091;1,60;1,81;0,20; 1
2; 8,80; 16,329410648;1,60;1,81;0,20; 1
2; 9,15; 16,767476612;1,60;1,81;0,20; 1
2; 9,30; 17,144016372;1,60;1,81;0,20; 1
2; 9,60; 17,425357900;1,60;1,81;0,20; 1
2; 9,85; 17,812916730;1,60;1,81;0,20; 1
3; 0,10;  7,951598522;4,37;1,39;0,51; 1
3; 0,45;  8,938670868;4,37;1,39;0,51; 1
3; 0,75; 10,848687888;4,37;1,39;0,51; 1
3; 1,25; 14,143384728;4,37;1,39;0,51; 1
3; 2,05; 16,294800323;4,37;1,39;0,51; 1
3; 2,20; 16,349205204;4,37;1,39;0,51; 1
3; 2,55; 15,934625932;4,37;1,39;0,51; 1
3; 2,60; 15,723663050;4,37;1,39;0,51; 1
