ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,05;  7,598960870;4,90;0,53;0,08; 1
1; 0,20;  7,377323335;4,90;0,53;0,08; 1
1; 0,40;  6,858976131;4,90;0,53;0,08; 1
1; 1,35;  2,985386298;4,90;0,53;0,08; 1
1; 1,45;  2,548907518;4,90;0,53;0,08; 1
1; 1,60;  1,704640119;4,90;0,53;0,08; 1
1; 1,75;  1,189301214;4,90;0,53;0,08; 1
1; 2,20;  1,085987170;4,90;0,53;0,08; 1
1; 2,65;  3,008070538;4,90;0,53;0,08; 1
1; 4,05; 13,242686814;4,90;0,53;0,08; 1
1; 4,55; 13,390692137;4,90;0,53;0,08; 1
1; 4,60; 13,649755390;4,90;0,53;0,08; 1
1; 4,75; 12,976720783;4,90;0,53;0,08; 1
1; 5,05; 11,111402424;4,90;0,53;0,08; 1
1; 5,35;  7,934090958;4,90;0,53;0,08; 1
1; 5,50;  5,973133067;4,90;0,53;0,08; 1
1; 5,70;  3,103932735;4,90;0,53;0,08; 1
1; 6,05; -1,674002558;4,90;0,53;0,08; 1
1; 6,10; -2,360701916;4,90;0,53;0,08; 1
1; 6,50; -6,550953069;4,90;0,53;0,08; 1
1; 6,70; -7,587112152;4,90;0,53;0,08; 1
1; 6,85; -8,034225558;4,90;0,53;0,08; 1
1; 7,00; -8,149879519;4,90;0,53;0,08; 1
1; 7,45; -6,370205344;4,90;0,53;0,08; 1
1; 7,90; -2,918169032;4,90;0,53;0,08; 1
1; 7,95; -2,407725462;4,90;0,53;0,08; 1
1; 8,00; -1,825305318;4,90;0,53;0,08; 1
1; 8,30;  0,738209699;4,90;0,53;0,08; 1
1; 8,55;  2,390041593;4,90;0,53;0,08; 1
1; 9,05;  5,037786963;4,90;0,53;0,08; 1
2; 0,00; 16,368621536;4,90;0,53;0,08; 1
2; 0,10; 16,380120861;4,90;0,53;0,08; 1
2; 1,05; 14,665783492;4,90;0,53;0,08; 1
2; 1,30; 15,007431471;4,90;0,53;0,08; 1
2; 2,30; 18,899105228;4,90;0,53;0,08; 1
2; 2,40; 19,115066691;4,90;0,53;0,08; 1
2; 2,60; 19,488589077;4,90;0,53;0,08; 1
2; 2,80; 19,728228865;4,90;0,53;0,08; 1
2; 2,90; 20,093424137;4,90;0,53;0,08; 1
2; 3,30; 22,012108823;4,90;0,53;0,08; 1
2; 3,40; 22,619534072;4,90;0,53;0,08; 1
2; 4,30; 28,104693758;4,90;0,53;0,08; 1
2; 4,70; 26,491635534;4,90;0,53;0,08; 1
2; 6,00;  5,738583708;4,90;0,53;0,08; 1
2; 6,20;  4,528458854;4,90;0,53;0,08; 1
2; 6,55;  5,419935275;4,90;0,53;0,08; 1
2; 6,80;  7,359107840;4,90;0,53;0,08; 1
2; 6,85;  7,937533437;4,90;0,53;0,08; 1
2; 7,25; 11,815683343;4,90;0,53;0,08; 1
2; 7,35; 12,903286615;4,90;0,53;0,08; 1
2; 8,05; 15,394104149;4,90;0,53;0,08; 1
2; 8,25; 15,440572207;4,90;0,53;0,08; 1
2; 8,40; 15,539872985;4,90;0,53;0,08; 1
2; 8,45; 15,667379090;4,90;0,53;0,08; 1
2; 8,65; 15,956792072;4,90;0,53;0,08; 1
2; 8,75; 16,121398473;4,90;0,53;0,08; 1
2; 9,10; 18,057563126;4,90;0,53;0,08; 1
2; 9,30; 19,593339092;4,90;0,53;0,08; 1
2; 9,55; 21,592468809;4,90;0,53;0,08; 1
2; 9,60; 22,061909995;4,90;0,53;0,08; 1
3; 0,10;  9,719467407;4,90;0,53;0,08; 1
3; 0,45; 10,820511996;4,90;0,53;0,08; 1
3; 0,75; 10,760204613;4,90;0,53;0,08; 1
3; 1,15;  9,991023330;4,90;0,53;0,08; 1
3; 1,20;  9,939564339;4,90;0,53;0,08; 1
3; 1,25;  9,891200300;4,90;0,53;0,08; 1
3; 2,05;  8,145750964;4,90;0,53;0,08; 1
3; 2,20;  7,694309776;4,90;0,53;0,08; 1
3; 2,55;  6,128293984;4,90;0,53;0,08; 1
3; 2,60;  5,864635028;4,90;0,53;0,08; 1
3; 2,75;  4,629543694;4,90;0,53;0,08; 1
3; 3,95; -6,819847110;4,90;0,53;0,08; 1
3; 4,20; -7,144012001;4,90;0,53;0,08; 1
3; 4,60; -5,248891725;4,90;0,53;0,08; 1
3; 4,85; -3,069045821;4,90;0,53;0,08; 1
3; 5,30;  1,150519903;4,90;0,53;0,08; 1
3; 5,35;  1,618881165;4,90;0,53;0,08; 1
3; 5,90;  4,982513273;4,90;0,53;0,08; 1
3; 6,70;  9,098436644;4,90;0,53;0,08; 1
3; 7,30; 13,607346330;4,90;0,53;0,08; 1
3; 7,40; 14,273918825;4,90;0,53;0,08; 1
3; 7,55; 15,284165296;4,90;0,53;0,08; 1
3; 7,80; 16,253387600;4,90;0,53;0,08; 1
3; 7,85; 16,568566390;4,90;0,53;0,08; 1
3; 8,30; 17,168948765;4,90;0,53;0,08; 1
3; 8,45; 16,891970296;4,90;0,53;0,08; 1
3; 8,50; 16,656101751;4,90;0,53;0,08; 1
3; 8,60; 16,512873131;4,90;0,53;0,08; 1
3; 8,65; 16,230296367;4,90;0,53;0,08; 1
3; 9,20; 14,167975381;4,90;0,53;0,08; 1
4; 0,35; -4,091372540;4,90;0,53;0,08; 1
4; 0,45; -3,633673493;4,90;0,53;0,08; 1
4; 0,55; -2,970217508;4,90;0,53;0,08; 1
4; 0,85; -0,888694661;4,90;0,53;0,08; 1
4; 0,90; -0,596458631;4,90;0,53;0,08; 1
4; 0,95; -0,078385275;4,90;0,53;0,08; 1
4; 1,50;  1,313235835;4,90;0,53;0,08; 1
4; 2,75; -4,668946649;4,90;0,53;0,08; 1
4; 3,00; -4,922619518;4,90;0,53;0,08; 1
4; 3,70; -4,306238942;4,90;0,53;0,08; 1
4; 4,15; -2,621320834;4,90;0,53;0,08; 1
4; 4,20; -2,492879203;4,90;0,53;0,08; 1
4; 4,75;  0,489604428;4,90;0,53;0,08; 1
4; 4,90;  1,072237461;4,90;0,53;0,08; 1
4; 5,10;  2,016843138;4,90;0,53;0,08; 1
4; 5,20;  2,220533279;4,90;0,53;0,08; 1
4; 5,65;  1,312919780;4,90;0,53;0,08; 1
4; 5,95; -0,744000035;4,90;0,53;0,08; 1
4; 6,50; -5,638692405;4,90;0,53;0,08; 1
4; 6,60; -6,445506950;4,90;0,53;0,08; 1
4; 6,85; -8,787394759;4,90;0,53;0,08; 1
4; 7,00; -9,897440765;4,90;0,53;0,08; 1
4; 8,60;-11,079725358;4,90;0,53;0,08; 1
4; 8,75; -9,534141259;4,90;0,53;0,08; 1
4; 9,10; -5,697464415;4,90;0,53;0,08; 1
4; 9,15; -5,125085916;4,90;0,53;0,08; 1
4; 9,25; -3,799163005;4,90;0,53;0,08; 1
4; 9,60; -0,262006245;4,90;0,53;0,08; 1
4; 9,65;  0,106088946;4,90;0,53;0,08; 1
4; 9,95;  2,451899183;4,90;0,53;0,08; 1
5; 0,40;  6,666938955;4,90;0,53;0,08; 1
5; 0,90; 12,368989445;4,90;0,53;0,08; 1
5; 1,00; 13,360045715;4,90;0,53;0,08; 1
5; 1,05; 13,736108264;4,90;0,53;0,08; 1
5; 1,15; 14,950623596;4,90;0,53;0,08; 1
5; 1,45; 17,187893750;4,90;0,53;0,08; 1
5; 1,90; 18,350281064;4,90;0,53;0,08; 1
5; 1,95; 18,233150675;4,90;0,53;0,08; 1
5; 2,50; 16,836833074;4,90;0,53;0,08; 1
5; 3,10; 14,759377586;4,90;0,53;0,08; 1
5; 4,05; 18,668824814;4,90;0,53;0,08; 1
5; 4,10; 19,205255231;4,90;0,53;0,08; 1
5; 5,70; 24,738371092;4,90;0,53;0,08; 1
5; 5,90; 23,827094782;4,90;0,53;0,08; 1
5; 6,20; 22,059732152;4,90;0,53;0,08; 1
5; 6,55; 19,596665626;4,90;0,53;0,08; 1
5; 6,75; 18,072281433;4,90;0,53;0,08; 1
5; 7,20; 14,502020249;4,90;0,53;0,08; 1
5; 7,35; 13,234762609;4,90;0,53;0,08; 1
5; 7,80; 10,276531542;4,90;0,53;0,08; 1
5; 8,05;  9,089987982;4,90;0,53;0,08; 1
5; 8,45;  7,025524764;4,90;0,53;0,08; 1
5; 8,70;  5,801847727;4,90;0,53;0,08; 1
5; 8,85;  5,238013745;4,90;0,53;0,08; 1
5; 8,95;  4,569722090;4,90;0,53;0,08; 1
5; 9,50;  3,240307932;4,90;0,53;0,08; 1
5; 9,55;  3,044937772;4,90;0,53;0,08; 1
5; 9,60;  3,020579875;4,90;0,53;0,08; 1
5; 9,70;  3,441416040;4,90;0,53;0,08; 1
5; 9,90;  3,822281660;4,90;0,53;0,08; 1
