ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,15; 2,647060e+00;1,41;1,40;0,31;1
1; 0,55; 1,933317e+00;1,41;1,40;0,31;1
1; 0,80; 1,536473e+00;1,41;1,40;0,31;1
1; 1,05; 1,441305e+00;1,41;1,40;0,31;1
1; 1,40; 6,584662e-01;1,41;1,40;0,31;1
1; 1,95;-2,811694e-01;1,41;1,40;0,31;1
1; 2,25;-6,664173e-01;1,41;1,40;0,31;1
1; 2,30;-9,289402e-01;1,41;1,40;0,31;1
1; 2,50;-6,394857e-01;1,41;1,40;0,31;1
1; 2,60;-9,100606e-01;1,41;1,40;0,31;1
1; 2,65;-9,116386e-01;1,41;1,40;0,31;1
1; 3,30;-2,124673e+00;1,41;1,40;0,31;1
1; 3,70;-1,942868e+00;1,41;1,40;0,31;1
1; 3,85;-2,202662e+00;1,41;1,40;0,31;1
1; 3,90;-2,698222e+00;1,41;1,40;0,31;1
1; 5,70;-3,054766e+00;1,41;1,40;0,31;1
1; 6,45;-2,402675e+00;1,41;1,40;0,31;1
1; 6,75;-2,829933e+00;1,41;1,40;0,31;1
1; 6,85;-2,468676e+00;1,41;1,40;0,31;1
1; 7,10;-2,304343e+00;1,41;1,40;0,31;1
1; 8,15;-1,832737e+00;1,41;1,40;0,31;1
1; 8,20;-2,122343e+00;1,41;1,40;0,31;1
1; 8,40;-2,048802e+00;1,41;1,40;0,31;1
1; 8,60;-2,222677e+00;1,41;1,40;0,31;1
1; 8,95;-1,469583e+00;1,41;1,40;0,31;1
1; 9,20;-2,438815e+00;1,41;1,40;0,31;1
1; 9,60;-2,059140e+00;1,41;1,40;0,31;1
1; 9,70;-2,617233e+00;1,41;1,40;0,31;1
1; 9,85;-2,360723e+00;1,41;1,40;0,31;1
1;10,00;-1,832215e+00;1,41;1,40;0,31;1
2; 0,15; 1,447428e+00;1,41;1,40;0,31;1
2; 0,55; 1,397520e+00;1,41;1,40;0,31;1
2; 0,80; 1,786418e-01;1,41;1,40;0,31;1
2; 1,05;-5,543132e-01;1,41;1,40;0,31;1
2; 1,40;-1,081597e+00;1,41;1,40;0,31;1
2; 1,95;-1,329414e+00;1,41;1,40;0,31;1
2; 2,25;-1,425579e+00;1,41;1,40;0,31;1
2; 2,30;-1,964343e+00;1,41;1,40;0,31;1
2; 2,50;-1,178246e+00;1,41;1,40;0,31;1
2; 2,60;-8,982050e-01;1,41;1,40;0,31;1
2; 2,65;-1,610007e+00;1,41;1,40;0,31;1
2; 3,30;-5,335205e-01;1,41;1,40;0,31;1
2; 3,70;-9,153738e-01;1,41;1,40;0,31;1
2; 3,85;-8,530576e-01;1,41;1,40;0,31;1
2; 3,90;-5,690541e-01;1,41;1,40;0,31;1
2; 5,70; 5,909270e-01;1,41;1,40;0,31;1
2; 6,45; 9,097692e-01;1,41;1,40;0,31;1
2; 6,75; 1,791412e+00;1,41;1,40;0,31;1
2; 6,85; 1,524095e+00;1,41;1,40;0,31;1
2; 7,10; 1,325683e+00;1,41;1,40;0,31;1
2; 8,15; 2,232385e+00;1,41;1,40;0,31;1
2; 8,20; 2,527315e+00;1,41;1,40;0,31;1
2; 8,40; 1,374857e+00;1,41;1,40;0,31;1
2; 8,60; 2,198030e+00;1,41;1,40;0,31;1
2; 8,95; 1,676220e+00;1,41;1,40;0,31;1
2; 9,20; 1,553971e+00;1,41;1,40;0,31;1
2; 9,60; 1,797262e+00;1,41;1,40;0,31;1
