ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,25; 1,987708e+00;2,69;0,18;1,33;  1
1; 0,60; 1,253636e+00;2,69;0,18;1,33;  1
1; 1,50; 1,306346e+00;2,69;0,18;1,33;  1
1; 1,90;-2,021409e-02;2,69;0,18;1,33;  1
1; 2,05; 1,438497e+00;2,69;0,18;1,33;  1
1; 2,30; 3,044502e+00;2,69;0,18;1,33;  1
1; 2,35;-6,187190e-01;2,69;0,18;1,33;  1
1; 2,50; 3,155041e+00;2,69;0,18;1,33;  1
1; 2,55; 4,150777e+00;2,69;0,18;1,33;  1
1; 3,00; 1,937570e-01;2,69;0,18;1,33;  1
1; 3,10; 1,728201e+00;2,69;0,18;1,33;  1
1; 3,45;-2,397871e+00;2,69;0,18;1,33;  1
1; 4,05;-2,416906e+00;2,69;0,18;1,33;  1
1; 4,10;-1,676516e+00;2,69;0,18;1,33;  1
1; 4,50;-2,647251e+00;2,69;0,18;1,33;  1
1; 5,25;-1,509806e+00;2,69;0,18;1,33;  1
1; 5,40;-3,197237e+00;2,69;0,18;1,33;  1
1; 6,25; 3,893180e-01;2,69;0,18;1,33;  1
1; 7,95;-4,079152e-01;2,69;0,18;1,33;  1
1; 8,10; 2,481125e-01;2,69;0,18;1,33;  1
1; 8,35;-9,369170e-01;2,69;0,18;1,33;  1
1; 8,40;-4,243562e-01;2,69;0,18;1,33;  1
1; 8,45;-1,803408e+00;2,69;0,18;1,33;  1
1; 8,50;-3,196080e+00;2,69;0,18;1,33;  1
1; 8,55;-8,071519e-02;2,69;0,18;1,33;  1
1; 8,75;-1,949002e+00;2,69;0,18;1,33;  1
1; 9,05;-3,296178e+00;2,69;0,18;1,33;  1
1; 9,30;-4,621407e+00;2,69;0,18;1,33;  1
1; 9,50;-7,927002e-01;2,69;0,18;1,33;  1
1; 9,70;-2,284141e-01;2,69;0,18;1,33;  1
2; 0,10; 3,807850e+00;0,19;0,51;0,20;  1
2; 0,45; 3,278737e+00;0,19;0,51;0,20;  1
2; 0,65; 2,975454e+00;0,19;0,51;0,20;  1
2; 0,90; 3,276549e+00;0,19;0,51;0,20;  1
2; 1,85; 2,695246e+00;0,19;0,51;0,20;  1
2; 3,25; 4,413772e-01;0,19;0,51;0,20;  1
2; 3,30; 6,515757e-01;0,19;0,51;0,20;  1
2; 3,35; 2,146937e-01;0,19;0,51;0,20;  1
2; 3,55; 9,385005e-02;0,19;0,51;0,20;  1
2; 3,75;-2,314577e-01;0,19;0,51;0,20;  1
2; 3,95;-8,087680e-01;0,19;0,51;0,20;  1
2; 4,05;-4,578642e-01;0,19;0,51;0,20;  1
2; 4,30;-6,170741e-01;0,19;0,51;0,20;  1
2; 5,10;-4,611934e-01;0,19;0,51;0,20;  1
2; 5,20;-1,360359e-01;0,19;0,51;0,20;  1
2; 6,25;-1,330761e-01;0,19;0,51;0,20;  1
2; 6,30;-5,034616e-01;0,19;0,51;0,20;  1
2; 6,50;-4,585128e-01;0,19;0,51;0,20;  1
2; 6,55;-1,397995e-01;0,19;0,51;0,20;  1
2; 6,60;-8,110338e-02;0,19;0,51;0,20;  1
2; 7,10;-1,036599e+00;0,19;0,51;0,20;  1
2; 7,15;-7,940242e-01;0,19;0,51;0,20;  1
2; 7,45;-1,259729e+00;0,19;0,51;0,20;  1
2; 7,50;-1,004551e+00;0,19;0,51;0,20;  1
2; 7,75;-1,059826e+00;0,19;0,51;0,20;  1
2; 8,20;-9,902671e-01;0,19;0,51;0,20;  1
2; 8,25;-1,129630e+00;0,19;0,51;0,20;  1
2; 8,85;-1,307822e+00;0,19;0,51;0,20;  1
2; 9,15;-1,141219e+00;0,19;0,51;0,20;  1
2; 9,65;-1,735483e+00;0,19;0,51;0,20;  1
3; 0,50; 3,062468e+00;2,13;0,01;0,55;  1
3; 1,00; 8,313108e-01;2,13;0,01;0,55;  1
3; 1,95; 4,320837e+00;2,13;0,01;0,55;  1
3; 2,65; 4,540702e+00;2,13;0,01;0,55;  1
3; 2,90; 3,824903e+00;2,13;0,01;0,55;  1
3; 3,00; 2,897270e+00;2,13;0,01;0,55;  1
3; 3,20; 2,893501e+00;2,13;0,01;0,55;  1
3; 3,25; 2,196409e+00;2,13;0,01;0,55;  1
3; 3,45; 1,469003e+00;2,13;0,01;0,55;  1
3; 4,55; 3,497196e+00;2,13;0,01;0,55;  1
3; 4,90; 1,391077e+00;2,13;0,01;0,55;  1
3; 5,05; 8,376652e-01;2,13;0,01;0,55;  1
3; 5,25; 1,443079e+00;2,13;0,01;0,55;  1
3; 5,45;-1,717304e-01;2,13;0,01;0,55;  1
3; 6,30;-3,028035e+00;2,13;0,01;0,55;  1
3; 6,35;-2,272293e+00;2,13;0,01;0,55;  1
3; 6,75; 3,152420e-01;2,13;0,01;0,55;  1
3; 6,85;-2,407508e-01;2,13;0,01;0,55;  1
3; 7,35; 3,359485e+00;2,13;0,01;0,55;  1
3; 7,45; 3,370043e+00;2,13;0,01;0,55;  1
3; 8,10; 4,373883e+00;2,13;0,01;0,55;  1
3; 8,40; 2,626284e+00;2,13;0,01;0,55;  1
3; 8,45; 2,465817e+00;2,13;0,01;0,55;  1
3; 8,55; 3,718153e+00;2,13;0,01;0,55;  1
3; 8,80; 4,053298e+00;2,13;0,01;0,55;  1
3; 9,25; 4,406385e+00;2,13;0,01;0,55;  1
3; 9,55; 3,312723e+00;2,13;0,01;0,55;  1
3; 9,60; 2,551383e+00;2,13;0,01;0,55;  1
3; 9,90; 2,747942e+00;2,13;0,01;0,55;  1
3; 9,95; 1,906114e+00;2,13;0,01;0,55;  1
4; 0,00; 3,488403e+00;1,25;1,75;0,64;  1
4; 0,25; 2,348598e+00;1,25;1,75;0,64;  1
4; 0,40; 1,927487e+00;1,25;1,75;0,64;  1
4; 0,70; 2,585340e-01;1,25;1,75;0,64;  1
4; 0,95;-1,055269e-01;1,25;1,75;0,64;  1
4; 1,30;-7,561104e-01;1,25;1,75;0,64;  1
4; 1,35; 1,411446e+00;1,25;1,75;0,64;  1
4; 1,80;-3,003366e-01;1,25;1,75;0,64;  1
4; 2,25;-1,470252e+00;1,25;1,75;0,64;  1
4; 2,90;-3,260029e+00;1,25;1,75;0,64;  1
4; 2,95;-1,632153e+00;1,25;1,75;0,64;  1
4; 3,15;-2,922513e+00;1,25;1,75;0,64;  1
4; 4,50;-1,762268e+00;1,25;1,75;0,64;  1
4; 5,25;-1,077394e+00;1,25;1,75;0,64;  1
4; 5,65;-1,421594e+00;1,25;1,75;0,64;  1
4; 6,00;-1,120767e+00;1,25;1,75;0,64;  1
4; 6,10;-2,267994e-01;1,25;1,75;0,64;  1
4; 6,45;-4,875771e-01;1,25;1,75;0,64;  1
4; 6,50; 7,219675e-01;1,25;1,75;0,64;  1
4; 6,65; 8,028512e-01;1,25;1,75;0,64;  1
4; 6,85;-2,178402e-02;1,25;1,75;0,64;  1
4; 7,25;-7,544098e-01;1,25;1,75;0,64;  1
4; 7,45;-1,189838e-02;1,25;1,75;0,64;  1
4; 8,40;-9,034193e-01;1,25;1,75;0,64;  1
4; 8,50;-1,153535e+00;1,25;1,75;0,64;  1
4; 8,55; 1,033018e-01;1,25;1,75;0,64;  1
4; 8,60;-4,852902e-01;1,25;1,75;0,64;  1
4; 9,00;-8,551111e-02;1,25;1,75;0,64;  1
4; 9,85;-9,822432e-01;1,25;1,75;0,64;  1
4;10,00; 1,934266e-01;1,25;1,75;0,64;  1
5; 0,25;-5,015657e+00;4,32;0,18;1,64;  1
5; 0,30;-3,990983e+00;4,32;0,18;1,64;  1
5; 0,55;-8,230003e+00;4,32;0,18;1,64;  1
5; 0,75;-8,472528e+00;4,32;0,18;1,64;  1
5; 1,05;-9,998963e+00;4,32;0,18;1,64;  1
5; 1,65;-1,289382e+01;4,32;0,18;1,64;  1
5; 2,00;-9,646403e+00;4,32;0,18;1,64;  1
5; 2,30;-5,082519e+00;4,32;0,18;1,64;  1
5; 2,60;-2,755408e+00;4,32;0,18;1,64;  1
5; 3,25;-2,759895e+00;4,32;0,18;1,64;  1
5; 3,30; 1,039055e+00;4,32;0,18;1,64;  1
5; 3,45; 1,946521e+00;4,32;0,18;1,64;  1
5; 3,60;-2,454814e-01;4,32;0,18;1,64;  1
5; 3,65;-2,132587e+00;4,32;0,18;1,64;  1
5; 4,50; 2,635598e+00;4,32;0,18;1,64;  1
5; 4,85; 3,819985e+00;4,32;0,18;1,64;  1
5; 5,20; 3,124712e+00;4,32;0,18;1,64;  1
5; 5,30; 5,898280e+00;4,32;0,18;1,64;  1
5; 5,45; 3,876221e+00;4,32;0,18;1,64;  1
5; 6,10; 9,351166e+00;4,32;0,18;1,64;  1
5; 6,35; 1,444210e+01;4,32;0,18;1,64;  1
5; 6,50; 1,606107e+01;4,32;0,18;1,64;  1
5; 6,75; 1,770919e+01;4,32;0,18;1,64;  1
5; 7,05; 1,955346e+01;4,32;0,18;1,64;  1
5; 7,60; 1,529336e+01;4,32;0,18;1,64;  1
5; 7,75; 1,530462e+01;4,32;0,18;1,64;  1
5; 7,80; 1,359833e+01;4,32;0,18;1,64;  1
5; 8,05; 6,616557e+00;4,32;0,18;1,64;  1
5; 8,25; 6,563179e+00;4,32;0,18;1,64;  1
5; 8,45; 2,093876e+00;4,32;0,18;1,64;  1
6; 0,25; 1,276230e+00;3,60;1,14;1,28;  1
6; 0,30; 5,571504e-01;3,60;1,14;1,28;  1
6; 0,45;-1,270929e+00;3,60;1,14;1,28;  1
6; 0,70; 3,232641e+00;3,60;1,14;1,28;  1
6; 1,05; 2,429089e+00;3,60;1,14;1,28;  1
6; 1,30; 4,215110e+00;3,60;1,14;1,28;  1
6; 1,40; 3,878133e+00;3,60;1,14;1,28;  1
6; 2,25; 6,364076e+00;3,60;1,14;1,28;  1
6; 2,45; 8,374761e+00;3,60;1,14;1,28;  1
6; 2,80; 1,094555e+01;3,60;1,14;1,28;  1
6; 3,20; 1,141115e+01;3,60;1,14;1,28;  1
6; 3,75; 1,256758e+01;3,60;1,14;1,28;  1
6; 4,45; 1,196857e+01;3,60;1,14;1,28;  1
6; 4,70; 1,275635e+01;3,60;1,14;1,28;  1
6; 4,75; 1,436336e+01;3,60;1,14;1,28;  1
6; 4,80; 1,526102e+01;3,60;1,14;1,28;  1
6; 5,25; 1,419522e+01;3,60;1,14;1,28;  1
6; 5,80; 1,467471e+01;3,60;1,14;1,28;  1
6; 6,10; 1,408617e+01;3,60;1,14;1,28;  1
6; 6,35; 1,505376e+01;3,60;1,14;1,28;  1
6; 6,55; 1,428540e+01;3,60;1,14;1,28;  1
6; 6,90; 1,422066e+01;3,60;1,14;1,28;  1
6; 7,50; 1,211505e+01;3,60;1,14;1,28;  1
6; 7,60; 1,229583e+01;3,60;1,14;1,28;  1
6; 7,90; 9,088049e+00;3,60;1,14;1,28;  1
6; 8,00; 7,552441e+00;3,60;1,14;1,28;  1
6; 8,15; 8,365012e+00;3,60;1,14;1,28;  1
6; 8,40; 6,440286e+00;3,60;1,14;1,28;  1
6; 9,80;-4,368570e+00;3,60;1,14;1,28;  1
6; 9,95;-3,367524e+00;3,60;1,14;1,28;  1
7; 0,20; 8,790907e+00;3,21;1,99;0,02;  1
7; 0,50; 9,266613e+00;3,21;1,99;0,02;  1
7; 0,55; 9,363156e+00;3,21;1,99;0,02;  1
7; 0,75; 9,610577e+00;3,21;1,99;0,02;  1
7; 1,05; 9,839361e+00;3,21;1,99;0,02;  1
7; 1,45; 9,912341e+00;3,21;1,99;0,02;  1
