ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,15; 2,792212e+00;1,62;0,66;1,51;  1
1; 1,60;-7,667981e-01;1,62;0,66;1,51;  1
1; 1,65; 9,331270e-01;1,62;0,66;1,51;  1
1; 1,70;-8,724785e-01;1,62;0,66;1,51;  1
1; 2,40;-1,825261e+00;1,62;0,66;1,51;  1
1; 2,50;-1,380214e+00;1,62;0,66;1,51;  1
1; 2,70;-2,422541e+00;1,62;0,66;1,51;  1
1; 3,25;-2,137129e+00;1,62;0,66;1,51;  1
1; 3,45;-1,591711e+00;1,62;0,66;1,51;  1
1; 3,60;-2,580065e+00;1,62;0,66;1,51;  1
1; 4,05; 4,296550e-01;1,62;0,66;1,51;  1
1; 4,20;-2,108102e-02;1,62;0,66;1,51;  1
1; 4,25; 1,271772e+00;1,62;0,66;1,51;  1
1; 4,40; 2,617442e-01;1,62;0,66;1,51;  1
1; 4,45; 2,328579e+00;1,62;0,66;1,51;  1
1; 4,95; 2,567157e+00;1,62;0,66;1,51;  1
1; 5,00; 3,626345e+00;1,62;0,66;1,51;  1
1; 6,00; 6,063456e+00;1,62;0,66;1,51;  1
1; 7,00; 9,071957e+00;1,62;0,66;1,51;  1
1; 7,30; 5,707492e+00;1,62;0,66;1,51;  1
1; 7,40; 9,787562e+00;1,62;0,66;1,51;  1
1; 7,85; 6,011811e+00;1,62;0,66;1,51;  1
1; 8,10; 8,649824e+00;1,62;0,66;1,51;  1
1; 8,40; 7,092112e+00;1,62;0,66;1,51;  1
1; 8,55; 8,889593e+00;1,62;0,66;1,51;  1
1; 9,05; 9,054876e+00;1,62;0,66;1,51;  1
1; 9,25; 1,147911e+01;1,62;0,66;1,51;  1
1; 9,65; 1,105670e+01;1,62;0,66;1,51;  1
1; 9,80; 1,055408e+01;1,62;0,66;1,51;  1
1; 9,95; 1,229962e+01;1,62;0,66;1,51;  1
2; 0,40; 2,862219e+00;1,62;0,66;1,51;  1
2; 0,50; 3,633045e+00;1,62;0,66;1,51;  1
2; 0,85; 3,644148e+00;1,62;0,66;1,51;  1
2; 0,95; 1,057194e+00;1,62;0,66;1,51;  1
2; 1,05; 3,979622e+00;1,62;0,66;1,51;  1
2; 2,00; 6,324295e-01;1,62;0,66;1,51;  1
2; 2,45; 2,297335e+00;1,62;0,66;1,51;  1
2; 2,50; 3,106053e+00;1,62;0,66;1,51;  1
2; 2,65; 4,438195e+00;1,62;0,66;1,51;  1
2; 3,05; 3,562196e+00;1,62;0,66;1,51;  1
2; 3,50; 4,086000e+00;1,62;0,66;1,51;  1
2; 3,95; 5,934931e+00;1,62;0,66;1,51;  1
2; 4,15; 7,553474e+00;1,62;0,66;1,51;  1
2; 4,20; 8,905374e+00;1,62;0,66;1,51;  1
2; 5,35; 8,202114e+00;1,62;0,66;1,51;  1
2; 5,45; 8,663048e+00;1,62;0,66;1,51;  1
2; 5,85; 9,223194e+00;1,62;0,66;1,51;  1
2; 6,55; 6,497499e+00;1,62;0,66;1,51;  1
2; 6,75; 4,909223e+00;1,62;0,66;1,51;  1
2; 6,95; 3,735272e+00;1,62;0,66;1,51;  1
2; 7,20; 5,881469e+00;1,62;0,66;1,51;  1
2; 7,25; 3,198377e+00;1,62;0,66;1,51;  1
2; 7,35; 1,101564e+00;1,62;0,66;1,51;  1
2; 7,45; 3,902835e+00;1,62;0,66;1,51;  1
2; 7,70;-2,212213e-01;1,62;0,66;1,51;  1
2; 8,85; 1,275138e+00;1,62;0,66;1,51;  1
2; 9,15; 4,318464e+00;1,62;0,66;1,51;  1
2; 9,45; 6,319770e+00;1,62;0,66;1,51;  1
2; 9,55; 3,987560e+00;1,62;0,66;1,51;  1
2; 9,95; 7,049461e+00;1,62;0,66;1,51;  1
3; 0,05; 1,039632e+00;1,62;0,66;1,51;  1
3; 0,15; 2,222517e-01;1,62;0,66;1,51;  1
3; 0,35;-3,578158e-01;1,62;0,66;1,51;  1
3; 1,15;-6,229842e-01;1,62;0,66;1,51;  1
3; 1,20;-1,012173e+00;1,62;0,66;1,51;  1
3; 1,35;-3,511686e+00;1,62;0,66;1,51;  1
3; 1,45;-4,184417e-01;1,62;0,66;1,51;  1
3; 2,05;-1,727906e+00;1,62;0,66;1,51;  1
3; 2,35;-4,427878e-01;1,62;0,66;1,51;  1
3; 2,55;-8,812442e-01;1,62;0,66;1,51;  1
3; 3,75; 6,869019e+00;1,62;0,66;1,51;  1
3; 3,85; 6,725310e+00;1,62;0,66;1,51;  1
3; 4,25; 8,387088e+00;1,62;0,66;1,51;  1
3; 4,35; 1,215956e+01;1,62;0,66;1,51;  1
3; 4,50; 1,275255e+01;1,62;0,66;1,51;  1
3; 4,65; 1,469733e+01;1,62;0,66;1,51;  1
3; 5,10; 1,434766e+01;1,62;0,66;1,51;  1
3; 5,40; 1,614580e+01;1,62;0,66;1,51;  1
3; 5,45; 1,333025e+01;1,62;0,66;1,51;  1
3; 5,55; 1,421131e+01;1,62;0,66;1,51;  1
3; 6,05; 1,262114e+01;1,62;0,66;1,51;  1
3; 6,50; 1,149210e+01;1,62;0,66;1,51;  1
3; 7,35; 8,985415e+00;1,62;0,66;1,51;  1
3; 7,70; 5,624177e+00;1,62;0,66;1,51;  1
3; 7,85; 5,655085e+00;1,62;0,66;1,51;  1
3; 8,50; 7,274005e+00;1,62;0,66;1,51;  1
3; 8,65; 6,592293e+00;1,62;0,66;1,51;  1
3; 9,05; 9,194915e+00;1,62;0,66;1,51;  1
3; 9,55; 9,954043e+00;1,62;0,66;1,51;  1
3; 9,70; 1,070901e+01;1,62;0,66;1,51;  1
4; 0,45; 1,244870e+00;1,62;0,66;1,51;  1
4; 1,10;-3,180325e+00;1,62;0,66;1,51;  1
4; 1,35;-1,847930e+00;1,62;0,66;1,51;  1
4; 1,60;-2,769272e+00;1,62;0,66;1,51;  1
4; 1,75;-1,274723e+00;1,62;0,66;1,51;  1
4; 1,80;-7,207624e-01;1,62;0,66;1,51;  1
4; 2,35;-2,783088e+00;1,62;0,66;1,51;  1
4; 2,70; 2,327495e+00;1,62;0,66;1,51;  1
4; 2,85;-1,760443e+00;1,62;0,66;1,51;  1
4; 3,55; 4,906287e+00;1,62;0,66;1,51;  1
4; 3,65; 6,171492e+00;1,62;0,66;1,51;  1
4; 4,05; 1,000405e+01;1,62;0,66;1,51;  1
4; 4,45; 8,368117e+00;1,62;0,66;1,51;  1
4; 4,70; 1,199235e+01;1,62;0,66;1,51;  1
4; 5,20; 1,338248e+01;1,62;0,66;1,51;  1
4; 5,45; 9,686460e+00;1,62;0,66;1,51;  1
4; 5,50; 1,167383e+01;1,62;0,66;1,51;  1
4; 5,70; 1,347707e+01;1,62;0,66;1,51;  1
4; 5,85; 1,111957e+01;1,62;0,66;1,51;  1
4; 6,05; 1,090861e+01;1,62;0,66;1,51;  1
4; 7,00; 7,379669e+00;1,62;0,66;1,51;  1
4; 7,10; 9,143488e+00;1,62;0,66;1,51;  1
4; 7,50; 8,615899e+00;1,62;0,66;1,51;  1
4; 7,65; 9,286723e+00;1,62;0,66;1,51;  1
4; 7,70; 8,198811e+00;1,62;0,66;1,51;  1
4; 8,20; 8,690549e+00;1,62;0,66;1,51;  1
4; 8,85; 5,369107e+00;1,62;0,66;1,51;  1
4; 9,50; 5,638731e+00;1,62;0,66;1,51;  1
4; 9,60; 1,128958e+01;1,62;0,66;1,51;  1
4; 9,90; 1,074178e+01;1,62;0,66;1,51;  1
5; 0,15;-1,871522e+00;1,62;0,66;1,51;  1
5; 0,25;-5,315152e+00;1,62;0,66;1,51;  1
5; 1,05;-3,179692e+00;1,62;0,66;1,51;  1
5; 1,60;-6,467114e+00;1,62;0,66;1,51;  1
5; 2,10;-4,189469e+00;1,62;0,66;1,51;  1
5; 2,35;-3,102411e+00;1,62;0,66;1,51;  1
5; 2,60;-4,804427e+00;1,62;0,66;1,51;  1
5; 3,00; 3,280654e+00;1,62;0,66;1,51;  1
5; 3,45; 8,779676e-01;1,62;0,66;1,51;  1
5; 3,55; 3,012801e+00;1,62;0,66;1,51;  1
5; 3,60; 3,304077e+00;1,62;0,66;1,51;  1
5; 3,70; 5,343340e+00;1,62;0,66;1,51;  1
5; 3,90; 5,970724e+00;1,62;0,66;1,51;  1
5; 4,00; 3,890753e+00;1,62;0,66;1,51;  1
5; 4,40; 6,028745e+00;1,62;0,66;1,51;  1
5; 4,45; 3,091226e+00;1,62;0,66;1,51;  1
5; 5,30; 5,515870e+00;1,62;0,66;1,51;  1
5; 5,55; 2,353823e+00;1,62;0,66;1,51;  1
5; 6,40; 4,448194e-01;1,62;0,66;1,51;  1
5; 7,20; 3,335453e+00;1,62;0,66;1,51;  1
5; 7,65; 4,067653e+00;1,62;0,66;1,51;  1
5; 7,70; 5,599964e+00;1,62;0,66;1,51;  1
5; 8,15; 4,306843e+00;1,62;0,66;1,51;  1
5; 8,60; 3,952095e+00;1,62;0,66;1,51;  1
5; 8,90; 4,836565e+00;1,62;0,66;1,51;  1
5; 8,95; 5,917864e+00;1,62;0,66;1,51;  1
5; 9,50; 9,252125e+00;1,62;0,66;1,51;  1
5; 9,80; 7,129972e+00;1,62;0,66;1,51;  1
5; 9,85; 6,075102e+00;1,62;0,66;1,51;  1
5; 9,95; 6,472579e+00;1,62;0,66;1,51;  1
6; 0,60; 2,339235e+00;1,62;0,66;1,51;  1
6; 1,20;-6,497707e-01;1,62;0,66;1,51;  1
6; 1,45;-1,208999e+00;1,62;0,66;1,51;  1
6; 1,60;-3,045589e+00;1,62;0,66;1,51;  1
6; 1,70;-4,376052e+00;1,62;0,66;1,51;  1
6; 1,80; 2,107064e-01;1,62;0,66;1,51;  1
6; 2,15; 5,485001e-01;1,62;0,66;1,51;  1
6; 2,30; 7,509776e-01;1,62;0,66;1,51;  1
6; 2,35;-2,174080e+00;1,62;0,66;1,51;  1
6; 2,45; 2,518722e-01;1,62;0,66;1,51;  1
6; 2,75;-1,756402e+00;1,62;0,66;1,51;  1
6; 3,05; 1,591918e+00;1,62;0,66;1,51;  1
6; 4,40; 5,642435e+00;1,62;0,66;1,51;  1
6; 4,45; 8,546061e+00;1,62;0,66;1,51;  1
6; 5,00; 1,036135e+01;1,62;0,66;1,51;  1
6; 5,05; 7,276751e+00;1,62;0,66;1,51;  1
6; 5,15; 1,046999e+01;1,62;0,66;1,51;  1
6; 5,20; 1,069543e+01;1,62;0,66;1,51;  1
6; 5,75; 6,885713e+00;1,62;0,66;1,51;  1
6; 5,80; 9,068428e+00;1,62;0,66;1,51;  1
6; 6,60; 8,434054e+00;1,62;0,66;1,51;  1
6; 7,85; 1,701839e+00;1,62;0,66;1,51;  1
6; 8,05; 1,578334e+00;1,62;0,66;1,51;  1
6; 8,25; 2,216406e+00;1,62;0,66;1,51;  1
6; 8,40;-1,042512e-01;1,62;0,66;1,51;  1
6; 8,45; 3,480748e+00;1,62;0,66;1,51;  1
6; 8,80; 3,434214e+00;1,62;0,66;1,51;  1
6; 8,85; 5,243112e+00;1,62;0,66;1,51;  1
6; 9,75; 3,213411e+00;1,62;0,66;1,51;  1
6;10,00; 5,529068e+00;1,62;0,66;1,51;  1
7; 0,20; 5,685245e+00;1,62;0,66;1,51;  1
7; 1,05;-6,124107e-01;1,62;0,66;1,51;  1
7; 1,25; 7,987588e-01;1,62;0,66;1,51;  1
7; 1,90; 1,144799e-01;1,62;0,66;1,51;  1
7; 2,35;-1,834318e+00;1,62;0,66;1,51;  1
7; 2,45;-1,024384e+00;1,62;0,66;1,51;  1
7; 3,25; 5,809833e-01;1,62;0,66;1,51;  1
7; 3,45; 1,423209e+00;1,62;0,66;1,51;  1
7; 3,50; 1,195788e+00;1,62;0,66;1,51;  1
7; 3,55;-2,813380e-01;1,62;0,66;1,51;  1
7; 4,05; 1,615249e+00;1,62;0,66;1,51;  1
7; 4,15; 2,539908e+00;1,62;0,66;1,51;  1
7; 4,25; 8,372246e-01;1,62;0,66;1,51;  1
7; 4,35; 5,527689e+00;1,62;0,66;1,51;  1
7; 4,55; 2,229541e+00;1,62;0,66;1,51;  1
7; 4,60; 2,898199e+00;1,62;0,66;1,51;  1
7; 4,90; 4,370960e+00;1,62;0,66;1,51;  1
7; 5,20; 7,130866e+00;1,62;0,66;1,51;  1
7; 5,75; 8,618350e+00;1,62;0,66;1,51;  1
7; 6,25; 3,584859e+00;1,62;0,66;1,51;  1
7; 6,75; 9,532614e+00;1,62;0,66;1,51;  1
7; 7,15; 1,035828e+01;1,62;0,66;1,51;  1
7; 7,20; 1,269681e+01;1,62;0,66;1,51;  1
7; 7,30; 8,174438e+00;1,62;0,66;1,51;  1
7; 7,85; 5,313480e+00;1,62;0,66;1,51;  1
7; 7,95; 1,147845e+01;1,62;0,66;1,51;  1
7; 8,45; 6,927123e+00;1,62;0,66;1,51;  1
7; 8,70; 6,994791e+00;1,62;0,66;1,51;  1
7; 9,65; 2,077597e+00;1,62;0,66;1,51;  1
7;10,00; 1,749826e-01;1,62;0,66;1,51;  1
8; 0,35;-1,123819e+00;1,62;0,66;1,51;  1
8; 0,55; 5,165586e-01;1,62;0,66;1,51;  1
8; 1,15; 2,240280e+00;1,62;0,66;1,51;  1
8; 1,30;-7,041501e-01;1,62;0,66;1,51;  1
8; 1,90;-2,848232e+00;1,62;0,66;1,51;  1
8; 2,05;-2,911749e+00;1,62;0,66;1,51;  1
8; 2,65;-4,428789e-01;1,62;0,66;1,51;  1
8; 2,75;-3,099357e+00;1,62;0,66;1,51;  1
8; 3,50;-8,216469e-01;1,62;0,66;1,51;  1
8; 3,95; 1,897697e+00;1,62;0,66;1,51;  1
8; 4,10; 1,895435e+00;1,62;0,66;1,51;  1
8; 5,00; 7,263040e+00;1,62;0,66;1,51;  1
8; 5,10; 8,001195e+00;1,62;0,66;1,51;  1
8; 6,20; 1,553689e+01;1,62;0,66;1,51;  1
8; 6,25; 1,604213e+01;1,62;0,66;1,51;  1
8; 6,35; 1,335511e+01;1,62;0,66;1,51;  1
8; 6,60; 1,642675e+01;1,62;0,66;1,51;  1
8; 7,05; 1,537760e+01;1,62;0,66;1,51;  1
8; 7,25; 1,456172e+01;1,62;0,66;1,51;  1
8; 7,50; 1,359580e+01;1,62;0,66;1,51;  1
8; 7,65; 1,161844e+01;1,62;0,66;1,51;  1
8; 7,80; 1,172894e+01;1,62;0,66;1,51;  1
8; 8,20; 6,186466e+00;1,62;0,66;1,51;  1
8; 8,30; 5,162811e+00;1,62;0,66;1,51;  1
8; 8,65; 6,468902e+00;1,62;0,66;1,51;  1
8; 8,80; 4,350543e+00;1,62;0,66;1,51;  1
8; 9,05; 4,910403e+00;1,62;0,66;1,51;  1
8; 9,30; 4,676968e+00;1,62;0,66;1,51;  1
8; 9,55; 6,304656e+00;1,62;0,66;1,51;  1
8; 9,90; 6,882623e+00;1,62;0,66;1,51;  1
9; 0,35; 2,233934e+00;1,62;0,66;1,51;  1
9; 0,55;-1,590107e+00;1,62;0,66;1,51;  1
9; 0,75; 8,814350e-01;1,62;0,66;1,51;  1
9; 1,45;-1,225799e+00;1,62;0,66;1,51;  1
9; 1,50;-8,937565e-01;1,62;0,66;1,51;  1
9; 1,60;-4,754972e-01;1,62;0,66;1,51;  1
9; 1,75; 1,026336e+00;1,62;0,66;1,51;  1
9; 1,80; 1,515776e+00;1,62;0,66;1,51;  1
9; 2,05; 3,155075e-01;1,62;0,66;1,51;  1
9; 2,45; 2,047104e-01;1,62;0,66;1,51;  1
9; 3,25; 9,837216e-01;1,62;0,66;1,51;  1
9; 3,40; 3,758061e+00;1,62;0,66;1,51;  1
9; 3,60; 3,787486e+00;1,62;0,66;1,51;  1
9; 4,20; 5,391723e-01;1,62;0,66;1,51;  1
9; 4,25; 3,029310e+00;1,62;0,66;1,51;  1
9; 4,40; 3,635143e+00;1,62;0,66;1,51;  1
9; 5,15; 7,700098e+00;1,62;0,66;1,51;  1
9; 5,60; 6,524608e+00;1,62;0,66;1,51;  1
9; 5,95; 5,316701e+00;1,62;0,66;1,51;  1
9; 6,00; 7,303608e+00;1,62;0,66;1,51;  1
9; 6,20; 8,722226e+00;1,62;0,66;1,51;  1
9; 6,85; 6,473929e+00;1,62;0,66;1,51;  1
9; 7,25; 6,466847e+00;1,62;0,66;1,51;  1
9; 7,50; 5,443220e+00;1,62;0,66;1,51;  1
9; 7,60; 5,734328e+00;1,62;0,66;1,51;  1
9; 8,00; 2,924766e+00;1,62;0,66;1,51;  1
9; 8,10; 1,882269e+00;1,62;0,66;1,51;  1
9; 8,30; 2,871797e+00;1,62;0,66;1,51;  1
9; 9,15; 5,409522e+00;1,62;0,66;1,51;  1
9; 9,35; 3,909816e+00;1,62;0,66;1,51;  1
10; 0,35;-1,336921e+00;1,62;0,66;1,51;  1
10; 0,75;-3,156857e+00;1,62;0,66;1,51;  1
10; 1,25;-2,101384e+00;1,62;0,66;1,51;  1
10; 1,45; 1,474315e+00;1,62;0,66;1,51;  1
10; 1,50;-4,739737e+00;1,62;0,66;1,51;  1
10; 1,55;-2,876300e+00;1,62;0,66;1,51;  1
10; 1,75;-2,296846e+00;1,62;0,66;1,51;  1
10; 2,10;-7,184396e-02;1,62;0,66;1,51;  1
10; 2,50; 2,790677e-01;1,62;0,66;1,51;  1
10; 2,90; 2,632987e+00;1,62;0,66;1,51;  1
10; 2,95; 4,641525e+00;1,62;0,66;1,51;  1
10; 3,05; 2,563925e+00;1,62;0,66;1,51;  1
10; 3,55; 6,764618e+00;1,62;0,66;1,51;  1
10; 3,60; 5,048363e+00;1,62;0,66;1,51;  1
10; 3,65; 2,329963e+00;1,62;0,66;1,51;  1
10; 3,75; 8,394668e+00;1,62;0,66;1,51;  1
10; 4,10; 5,890902e+00;1,62;0,66;1,51;  1
10; 5,50; 1,250826e+01;1,62;0,66;1,51;  1
10; 5,65; 8,502617e+00;1,62;0,66;1,51;  1
10; 6,35; 8,723455e+00;1,62;0,66;1,51;  1
10; 6,40; 1,075483e+01;1,62;0,66;1,51;  1
10; 6,45; 7,760149e+00;1,62;0,66;1,51;  1
10; 6,65; 1,128681e+01;1,62;0,66;1,51;  1
10; 7,40; 7,459342e+00;1,62;0,66;1,51;  1
10; 8,00; 9,671244e+00;1,62;0,66;1,51;  1
10; 8,95; 7,657800e+00;1,62;0,66;1,51;  1
10; 9,00; 1,042665e+01;1,62;0,66;1,51;  1
10; 9,10; 7,809851e+00;1,62;0,66;1,51;  1
10; 9,55; 7,185968e+00;1,62;0,66;1,51;  1
10; 9,95; 9,563587e+00;1,62;0,66;1,51;  1
11; 0,20;-1,222857e+00;1,62;0,66;1,51;  1
11; 0,45;-6,635487e-01;1,62;0,66;1,51;  1
11; 0,75;-2,893483e+00;1,62;0,66;1,51;  1
11; 1,40;-4,538480e+00;1,62;0,66;1,51;  1
11; 1,50;-5,184190e+00;1,62;0,66;1,51;  1
11; 1,85;-6,329883e+00;1,62;0,66;1,51;  1
11; 2,20;-7,490766e+00;1,62;0,66;1,51;  1
11; 2,75;-3,079434e+00;1,62;0,66;1,51;  1
11; 3,25; 2,851571e-01;1,62;0,66;1,51;  1
11; 3,60; 4,507837e+00;1,62;0,66;1,51;  1
11; 3,80; 7,687770e+00;1,62;0,66;1,51;  1
11; 4,15; 8,800450e+00;1,62;0,66;1,51;  1
11; 4,30; 9,296316e+00;1,62;0,66;1,51;  1
11; 4,50; 8,331584e+00;1,62;0,66;1,51;  1
11; 4,65; 8,718465e+00;1,62;0,66;1,51;  1
11; 5,20; 1,136968e+01;1,62;0,66;1,51;  1
11; 5,30; 6,169263e+00;1,62;0,66;1,51;  1
11; 5,35; 9,963273e+00;1,62;0,66;1,51;  1
11; 5,85; 7,868146e+00;1,62;0,66;1,51;  1
11; 6,10; 9,277597e+00;1,62;0,66;1,51;  1
11; 6,90; 1,037579e+01;1,62;0,66;1,51;  1
11; 7,10; 7,167660e+00;1,62;0,66;1,51;  1
11; 7,45; 6,336339e+00;1,62;0,66;1,51;  1
11; 7,50; 7,963174e+00;1,62;0,66;1,51;  1
11; 7,55; 5,696282e+00;1,62;0,66;1,51;  1
11; 8,10; 7,481502e+00;1,62;0,66;1,51;  1
11; 8,20; 1,051005e+01;1,62;0,66;1,51;  1
11; 8,40; 6,748473e+00;1,62;0,66;1,51;  1
11; 8,90; 8,861392e+00;1,62;0,66;1,51;  1
11; 9,65; 1,450822e+01;1,62;0,66;1,51;  1
12; 0,55;-3,789068e+00;1,62;0,66;1,51;  1
12; 0,75;-1,277505e+00;1,62;0,66;1,51;  1
12; 1,15;-1,300425e-01;1,62;0,66;1,51;  1
12; 1,20;-3,551477e+00;1,62;0,66;1,51;  1
12; 2,15; 1,999771e+00;1,62;0,66;1,51;  1
12; 2,20; 1,157397e+00;1,62;0,66;1,51;  1
12; 2,50; 4,240481e+00;1,62;0,66;1,51;  1
12; 2,80; 5,855546e+00;1,62;0,66;1,51;  1
12; 3,05; 6,418342e+00;1,62;0,66;1,51;  1
12; 3,30; 7,521788e+00;1,62;0,66;1,51;  1
12; 3,90; 9,013977e+00;1,62;0,66;1,51;  1
12; 4,30; 9,302036e+00;1,62;0,66;1,51;  1
12; 5,50; 9,657193e+00;1,62;0,66;1,51;  1
12; 5,60; 8,011658e+00;1,62;0,66;1,51;  1
12; 6,15; 7,722970e+00;1,62;0,66;1,51;  1
