ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,40; 5,702011e+00;2,82;0,07;1,71;  1
1; 0,50; 5,293497e+00;2,82;0,07;1,71;  1
1; 0,55; 7,808940e+00;2,82;0,07;1,71;  1
1; 0,80; 4,329906e+00;2,82;0,07;1,71;  1
1; 1,30; 1,206210e+01;2,82;0,07;1,71;  1
1; 2,80; 6,570280e+00;2,82;0,07;1,71;  1
1; 2,95; 3,180888e+00;2,82;0,07;1,71;  1
1; 3,55; 3,748723e+00;2,82;0,07;1,71;  1
1; 3,90; 5,832462e+00;2,82;0,07;1,71;  1
1; 4,05; 3,982186e+00;2,82;0,07;1,71;  1
1; 4,15; 6,527806e+00;2,82;0,07;1,71;  1
1; 4,45; 1,093143e+01;2,82;0,07;1,71;  1
1; 4,50; 9,227336e+00;2,82;0,07;1,71;  1
1; 4,60; 7,607137e+00;2,82;0,07;1,71;  1
1; 5,30; 1,564465e+01;2,82;0,07;1,71;  1
1; 5,80; 2,107031e+01;2,82;0,07;1,71;  1
1; 6,15; 2,127635e+01;2,82;0,07;1,71;  1
1; 6,25; 1,847142e+01;2,82;0,07;1,71;  1
1; 6,30; 1,950019e+01;2,82;0,07;1,71;  1
1; 6,40; 2,109528e+01;2,82;0,07;1,71;  1
1; 6,65; 1,398085e+01;2,82;0,07;1,71;  1
1; 6,95; 1,692131e+01;2,82;0,07;1,71;  1
1; 7,30; 1,558747e+01;2,82;0,07;1,71;  1
1; 7,80; 1,607043e+01;2,82;0,07;1,71;  1
1; 8,00; 1,710532e+01;2,82;0,07;1,71;  1
1; 8,25; 1,955062e+01;2,82;0,07;1,71;  1
1; 8,95; 1,756097e+01;2,82;0,07;1,71;  1
1; 9,00; 1,671747e+01;2,82;0,07;1,71;  1
1; 9,20; 1,246736e+01;2,82;0,07;1,71;  1
1; 9,60; 1,396598e+01;2,82;0,07;1,71;  1
2; 0,40; 2,205494e+00;1,32;0,54;1,77;  1
2; 0,50; 1,261593e+00;1,32;0,54;1,77;  1
2; 0,55; 2,511483e+00;1,32;0,54;1,77;  1
2; 0,80; 5,536772e+00;1,32;0,54;1,77;  1
2; 1,30; 3,464721e+00;1,32;0,54;1,77;  1
2; 2,80; 3,596169e+00;1,32;0,54;1,77;  1
2; 2,95; 7,233232e+00;1,32;0,54;1,77;  1
2; 3,55; 3,635467e+00;1,32;0,54;1,77;  1
2; 3,90; 8,156960e+00;1,32;0,54;1,77;  1
2; 4,05; 5,036799e+00;1,32;0,54;1,77;  1
2; 4,15; 4,008955e+00;1,32;0,54;1,77;  1
2; 4,45; 2,779373e+00;1,32;0,54;1,77;  1
2; 4,50; 5,564112e+00;1,32;0,54;1,77;  1
2; 4,60; 7,552572e+00;1,32;0,54;1,77;  1
2; 5,30; 8,465450e+00;1,32;0,54;1,77;  1
2; 5,80; 4,557678e+00;1,32;0,54;1,77;  1
2; 6,15; 9,533959e+00;1,32;0,54;1,77;  1
2; 6,25; 6,863498e+00;1,32;0,54;1,77;  1
2; 6,30; 7,465404e+00;1,32;0,54;1,77;  1
2; 6,40; 7,069982e+00;1,32;0,54;1,77;  1
2; 6,65; 4,807841e+00;1,32;0,54;1,77;  1
2; 6,95; 7,958921e+00;1,32;0,54;1,77;  1
2; 7,30; 7,453433e+00;1,32;0,54;1,77;  1
2; 7,80; 6,595437e+00;1,32;0,54;1,77;  1
2; 8,00; 6,701186e+00;1,32;0,54;1,77;  1
2; 8,25; 9,096831e+00;1,32;0,54;1,77;  1
2; 8,95; 9,802091e+00;1,32;0,54;1,77;  1
2; 9,00; 1,097141e+01;1,32;0,54;1,77;  1
2; 9,20; 1,425988e+01;1,32;0,54;1,77;  1
2; 9,60; 1,151590e+01;1,32;0,54;1,77;  1
3; 0,40; 9,165633e+00;4,41;0,67;0,92;  1
3; 0,50; 9,522118e+00;4,41;0,67;0,92;  1
3; 0,55; 8,976835e+00;4,41;0,67;0,92;  1
3; 0,80; 7,369120e+00;4,41;0,67;0,92;  1
3; 1,30; 4,993860e+00;4,41;0,67;0,92;  1
3; 2,80; 1,639488e+01;4,41;0,67;0,92;  1
3; 2,95; 1,841882e+01;4,41;0,67;0,92;  1
3; 3,55; 2,326068e+01;4,41;0,67;0,92;  1
3; 3,90; 2,439246e+01;4,41;0,67;0,92;  1
3; 4,05; 2,429354e+01;4,41;0,67;0,92;  1
3; 4,15; 2,524695e+01;4,41;0,67;0,92;  1
3; 4,45; 2,706716e+01;4,41;0,67;0,92;  1
3; 4,50; 2,851657e+01;4,41;0,67;0,92;  1
3; 4,60; 2,875056e+01;4,41;0,67;0,92;  1
3; 5,30; 3,304221e+01;4,41;0,67;0,92;  1
3; 5,80; 3,236321e+01;4,41;0,67;0,92;  1
3; 6,15; 3,353728e+01;4,41;0,67;0,92;  1
3; 6,25; 3,260851e+01;4,41;0,67;0,92;  1
3; 6,30; 3,450248e+01;4,41;0,67;0,92;  1
3; 6,40; 3,354539e+01;4,41;0,67;0,92;  1
3; 6,65; 3,381112e+01;4,41;0,67;0,92;  1
3; 6,95; 2,984089e+01;4,41;0,67;0,92;  1
3; 7,30; 2,524275e+01;4,41;0,67;0,92;  1
3; 7,80; 1,772230e+01;4,41;0,67;0,92;  1
3; 8,00; 1,418905e+01;4,41;0,67;0,92;  1
3; 8,25; 1,111066e+01;4,41;0,67;0,92;  1
3; 8,95; 9,252042e+00;4,41;0,67;0,92;  1
3; 9,00; 1,138701e+01;4,41;0,67;0,92;  1
3; 9,20; 8,859002e+00;4,41;0,67;0,92;  1
3; 9,60; 1,149258e+01;4,41;0,67;0,92;  1
4; 0,40; 3,328406e+00;3,67;1,33;0,25;  1
4; 0,50; 4,123925e+00;3,67;1,33;0,25;  1
4; 0,55; 4,498061e+00;3,67;1,33;0,25;  1
4; 0,80; 5,211284e+00;3,67;1,33;0,25;  1
