ID;Timestamp;Output;a;b;sigma;ID_dataset
1; 0,05; 1,091629e+01;0,31;0,86;0,79;  1
1; 0,20; 1,035429e+01;0,31;0,86;0,79;  1
1; 0,40; 1,007758e+01;0,31;0,86;0,79;  1
1; 1,35; 1,234170e+01;0,31;0,86;0,79;  1
1; 1,45; 1,127414e+01;0,31;0,86;0,79;  1
1; 1,60; 1,245928e+01;0,31;0,86;0,79;  1
1; 1,75; 1,100447e+01;0,31;0,86;0,79;  1
1; 2,20; 1,242202e+01;0,31;0,86;0,79;  1
1; 2,65; 1,350710e+01;0,31;0,86;0,79;  1
1; 4,55; 1,652790e+01;0,31;0,86;0,79;  1
1; 4,60; 1,795303e+01;0,31;0,86;0,79;  1
1; 4,75; 1,701516e+01;0,31;0,86;0,79;  1
1; 5,05; 1,749399e+01;0,31;0,86;0,79;  1
1; 5,35; 1,680820e+01;0,31;0,86;0,79;  1
1; 5,50; 1,710154e+01;0,31;0,86;0,79;  1
1; 5,70; 1,863600e+01;0,31;0,86;0,79;  1
1; 6,05; 1,915854e+01;0,31;0,86;0,79;  1
1; 6,10; 1,919901e+01;0,31;0,86;0,79;  1
1; 6,50; 1,753942e+01;0,31;0,86;0,79;  1
1; 6,70; 2,048400e+01;0,31;0,86;0,79;  1
1; 6,85; 1,985638e+01;0,31;0,86;0,79;  1
1; 7,00; 1,923210e+01;0,31;0,86;0,79;  1
1; 7,35; 2,032434e+01;0,31;0,86;0,79;  1
1; 7,45; 1,916123e+01;0,31;0,86;0,79;  1
1; 7,90; 1,985546e+01;0,31;0,86;0,79;  1
1; 7,95; 2,085541e+01;0,31;0,86;0,79;  1
1; 8,00; 1,996646e+01;0,31;0,86;0,79;  1
1; 8,30; 2,167053e+01;0,31;0,86;0,79;  1
1; 8,55; 2,308417e+01;0,31;0,86;0,79;  1
1; 9,00; 2,227110e+01;0,31;0,86;0,79;  1
2; 0,05; 9,358253e+00;0,31;0,86;0,79;  1
2; 0,20; 1,002517e+01;0,31;0,86;0,79;  1
2; 0,40; 9,273524e+00;0,31;0,86;0,79;  1
2; 1,35; 1,075694e+01;0,31;0,86;0,79;  1
2; 1,45; 1,190870e+01;0,31;0,86;0,79;  1
2; 1,60; 1,224171e+01;0,31;0,86;0,79;  1
2; 1,75; 1,205410e+01;0,31;0,86;0,79;  1
2; 2,20; 1,119341e+01;0,31;0,86;0,79;  1
2; 2,65; 1,356179e+01;0,31;0,86;0,79;  1
2; 4,55; 1,711411e+01;0,31;0,86;0,79;  1
2; 4,60; 1,695074e+01;0,31;0,86;0,79;  1
2; 4,75; 1,626018e+01;0,31;0,86;0,79;  1
2; 5,05; 1,448083e+01;0,31;0,86;0,79;  1
2; 5,35; 1,688807e+01;0,31;0,86;0,79;  1
2; 5,50; 1,742387e+01;0,31;0,86;0,79;  1
2; 5,70; 1,720569e+01;0,31;0,86;0,79;  1
2; 6,05; 1,772178e+01;0,31;0,86;0,79;  1
2; 6,10; 1,800837e+01;0,31;0,86;0,79;  1
2; 6,50; 1,799365e+01;0,31;0,86;0,79;  1
2; 6,70; 1,971075e+01;0,31;0,86;0,79;  1
2; 6,85; 1,934275e+01;0,31;0,86;0,79;  1
2; 7,00; 1,829846e+01;0,31;0,86;0,79;  1
2; 7,35; 2,113439e+01;0,31;0,86;0,79;  1
2; 7,45; 2,122031e+01;0,31;0,86;0,79;  1
2; 7,90; 2,195855e+01;0,31;0,86;0,79;  1
2; 7,95; 2,011053e+01;0,31;0,86;0,79;  1
2; 8,00; 2,109075e+01;0,31;0,86;0,79;  1
2; 8,30; 2,273980e+01;0,31;0,86;0,79;  1
2; 8,55; 2,284794e+01;0,31;0,86;0,79;  1
2; 9,00; 2,410686e+01;0,31;0,86;0,79;  1
3; 0,05; 1,234437e+01;0,31;0,86;0,79;  1
3; 0,20; 9,778383e+00;0,31;0,86;0,79;  1
3; 0,40; 8,817772e+00;0,31;0,86;0,79;  1
3; 1,35; 1,170625e+01;0,31;0,86;0,79;  1
3; 1,45; 1,112400e+01;0,31;0,86;0,79;  1
3; 1,60; 1,230614e+01;0,31;0,86;0,79;  1
3; 1,75; 1,161963e+01;0,31;0,86;0,79;  1
3; 2,20; 1,500626e+01;0,31;0,86;0,79;  1
3; 2,65; 1,415246e+01;0,31;0,86;0,79;  1
3; 4,55; 1,605889e+01;0,31;0,86;0,79;  1
3; 4,60; 1,632294e+01;0,31;0,86;0,79;  1
3; 4,75; 1,718718e+01;0,31;0,86;0,79;  1
3; 5,05; 1,668119e+01;0,31;0,86;0,79;  1
3; 5,35; 1,543323e+01;0,31;0,86;0,79;  1
3; 5,50; 1,678250e+01;0,31;0,86;0,79;  1
3; 5,70; 1,749563e+01;0,31;0,86;0,79;  1
3; 6,05; 1,717469e+01;0,31;0,86;0,79;  1
3; 6,10; 1,776693e+01;0,31;0,86;0,79;  1
3; 6,50; 1,747633e+01;0,31;0,86;0,79;  1
3; 6,70; 1,779603e+01;0,31;0,86;0,79;  1
3; 6,85; 1,843125e+01;0,31;0,86;0,79;  1
3; 7,00; 1,906126e+01;0,31;0,86;0,79;  1
3; 7,35; 1,789160e+01;0,31;0,86;0,79;  1
3; 7,45; 1,903882e+01;0,31;0,86;0,79;  1
3; 7,90; 1,995087e+01;0,31;0,86;0,79;  1
3; 7,95; 1,952052e+01;0,31;0,86;0,79;  1
3; 8,00; 1,941762e+01;0,31;0,86;0,79;  1
3; 8,30; 2,045423e+01;0,31;0,86;0,79;  1
3; 8,55; 2,204680e+01;0,31;0,86;0,79;  1
3; 9,00; 2,243927e+01;0,31;0,86;0,79;  1
4; 0,05; 9,316155e+00;0,31;0,86;0,79;  1
4; 0,20; 1,014366e+01;0,31;0,86;0,79;  1
4; 0,40; 9,181678e+00;0,31;0,86;0,79;  1
4; 1,35; 1,241722e+01;0,31;0,86;0,79;  1
4; 1,45; 1,142615e+01;0,31;0,86;0,79;  1
4; 1,60; 1,230248e+01;0,31;0,86;0,79;  1
4; 1,75; 1,255352e+01;0,31;0,86;0,79;  1
4; 2,20; 1,363391e+01;0,31;0,86;0,79;  1
4; 2,65; 1,612303e+01;0,31;0,86;0,79;  1
4; 4,55; 1,578955e+01;0,31;0,86;0,79;  1
4; 4,60; 1,733654e+01;0,31;0,86;0,79;  1
4; 4,75; 1,641960e+01;0,31;0,86;0,79;  1
4; 5,05; 1,564503e+01;0,31;0,86;0,79;  1
4; 5,35; 1,617258e+01;0,31;0,86;0,79;  1
4; 5,50; 1,679457e+01;0,31;0,86;0,79;  1
4; 5,70; 1,586643e+01;0,31;0,86;0,79;  1
4; 6,05; 1,569236e+01;0,31;0,86;0,79;  1
4; 6,10; 1,645005e+01;0,31;0,86;0,79;  1
4; 6,50; 1,746054e+01;0,31;0,86;0,79;  1
4; 6,70; 1,689139e+01;0,31;0,86;0,79;  1
4; 6,85; 1,609847e+01;0,31;0,86;0,79;  1
4; 7,00; 1,644233e+01;0,31;0,86;0,79;  1
4; 7,35; 1,765055e+01;0,31;0,86;0,79;  1
4; 7,45; 1,809453e+01;0,31;0,86;0,79;  1
4; 7,90; 1,975873e+01;0,31;0,86;0,79;  1
4; 7,95; 2,045543e+01;0,31;0,86;0,79;  1
4; 8,00; 1,973379e+01;0,31;0,86;0,79;  1
4; 8,30; 2,012474e+01;0,31;0,86;0,79;  1
4; 8,55; 2,226604e+01;0,31;0,86;0,79;  1
4; 9,00; 2,338013e+01;0,31;0,86;0,79;  1
5; 0,05; 1,154550e+01;0,31;0,86;0,79;  1
5; 0,20; 9,353212e+00;0,31;0,86;0,79;  1
5; 0,40; 1,083688e+01;0,31;0,86;0,79;  1
5; 1,35; 1,268111e+01;0,31;0,86;0,79;  1
5; 1,45; 1,232153e+01;0,31;0,86;0,79;  1
5; 1,60; 1,131431e+01;0,31;0,86;0,79;  1
5; 1,75; 1,279134e+01;0,31;0,86;0,79;  1
5; 2,20; 1,232746e+01;0,31;0,86;0,79;  1
5; 2,65; 1,350910e+01;0,31;0,86;0,79;  1
5; 4,55; 1,669535e+01;0,31;0,86;0,79;  1
5; 4,60; 1,553045e+01;0,31;0,86;0,79;  1
5; 4,75; 1,641734e+01;0,31;0,86;0,79;  1
5; 5,05; 1,554212e+01;0,31;0,86;0,79;  1
5; 5,35; 1,458616e+01;0,31;0,86;0,79;  1
5; 5,50; 1,522544e+01;0,31;0,86;0,79;  1
5; 5,70; 1,517038e+01;0,31;0,86;0,79;  1
5; 6,05; 1,603954e+01;0,31;0,86;0,79;  1
5; 6,10; 1,622989e+01;0,31;0,86;0,79;  1
5; 6,50; 1,711731e+01;0,31;0,86;0,79;  1
5; 6,70; 1,751207e+01;0,31;0,86;0,79;  1
