"MSE";"Ratio_IC";"Time_train";"Time_pred";"Method"
0,373541068020079;73,3333333333333;12,2954123020172;0,176969766616821;"Algo"
NA;NA;0;0,00175905227661133;"One GP"
0,431279108708557;100;2,68107461929321;0,111332178115845;"GPFDA"
3,50069830907616;90;10,9027931690216;0,134672403335571;"Algo"
NA;NA;0;0,00198888778686523;"One GP"
7,98594618387988;100;3,15692067146301;0,105628490447998;"GPFDA"
3,69223466534499;70;8,86516427993774;0,127415657043457;"Algo"
NA;NA;0;0,00163984298706055;"One GP"
6,01909961405426;100;4,60687041282654;0,0957851409912109;"GPFDA"
0,0335299319896411;100;13,5656514167786;0,132518529891968;"Algo"
NA;NA;0;0,00146818161010742;"One GP"
0,0122565499889306;100;2,31560373306274;0,0875411033630371;"GPFDA"
0,387963908260459;100;9,09956312179565;0,109352350234985;"Algo"
NA;NA;0;0,00150871276855469;"One GP"
0,455204494782526;100;2,90031504631042;0,0841605663299561;"GPFDA"
0,692644893419801;100;19,0117616653442;0,128290414810181;"Algo"
NA;NA;0;0,00168776512145996;"One GP"
3,33981688889842;100;3,39380979537964;0,113755226135254;"GPFDA"
0,243612764498138;100;11,0782806873322;0,306583881378174;"Algo"
NA;NA;0;0,00148606300354004;"One GP"
0,732607053657629;100;5,51145672798157;0,103734254837036;"GPFDA"
0,751788511560946;100;9,16340160369873;0,142622232437134;"Algo"
NA;NA;0;0,00172090530395508;"One GP"
2,70721514667171;100;4,83524560928345;0,0969705581665039;"GPFDA"
1,06633673855182;100;9,479905128479;0,1156325340271;"Algo"
NA;NA;0;0,00155806541442871;"One GP"
2,83751207600673;100;5,60529255867004;0,0989811420440674;"GPFDA"
0,340573232598845;100;9,51754546165466;0,129073619842529;"Algo"
NA;NA;0;0,00154852867126465;"One GP"
2,76718374919042;100;4,34045124053955;0,0829849243164062;"GPFDA"
0,3201536187075;100;8,93301057815552;0,105997800827026;"Algo"
NA;NA;0;0,00144505500793457;"One GP"
0,306818211901376;100;2,19587731361389;0,0816848278045654;"GPFDA"
1,25866551484559;93,3333333333333;9,30812740325928;0,106985807418823;"Algo"
NA;NA;0;0,00168323516845703;"One GP"
3,26597681120173;100;4,59182572364807;0,0812308788299561;"GPFDA"
0,0816498009078547;100;10,9880332946777;0,119931936264038;"Algo"
NA;NA;0;0,0014336109161377;"One GP"
0,0635168513620957;100;4,16875457763672;0,0815660953521729;"GPFDA"
0,590655773320706;100;10,2726030349731;0,107741355895996;"Algo"
NA;NA;0;0,00144863128662109;"One GP"
1,57311431095624;100;2,77197456359863;0,08158278465271;"GPFDA"
0,0399538853194942;100;10,515451669693;0,108167171478271;"Algo"
NA;NA;0;0,00144696235656738;"One GP"
0,191805084229933;100;2,45638489723206;0,0834946632385254;"GPFDA"
0,0135958211469565;100;10,6552739143372;0,12022852897644;"Algo"
NA;NA;0;0,00141620635986328;"One GP"
0,0230861007559902;100;7,79128575325012;0,0843605995178223;"GPFDA"
0,303205093709841;93,3333333333333;10,0673377513885;0,145446300506592;"Algo"
NA;NA;0;0,00143790245056152;"One GP"
0,147681115253186;100;3,98406195640564;0,133838176727295;"GPFDA"
0,307958850934631;100;9,63552117347717;0,120002508163452;"Algo"
NA;NA;0;0,00143194198608398;"One GP"
1,92465889541015;100;4,51225924491882;0,0817594528198242;"GPFDA"
0,253132790898726;90;11,414971113205;0,144340753555298;"Algo"
NA;NA;0;0,0015568733215332;"One GP"
0,1607118691652;100;3,60876202583313;0,0842094421386719;"GPFDA"
3,25182461191119;50;11,240391254425;0,10663890838623;"Algo"
NA;NA;0;0,00143790245056152;"One GP"
4,82500095629583;100;5,04162526130676;0,0843079090118408;"GPFDA"
0,679350871048643;73,3333333333333;11,4956080913544;0,106935977935791;"Algo"
NA;NA;0;0,00143933296203613;"One GP"
0,904380610006173;100;5,23340845108032;0,0814616680145264;"GPFDA"
0,401673787139216;90;22,7491555213928;0,120744705200195;"Algo"
NA;NA;0;0,0014183521270752;"One GP"
1,31412067092071;100;3,65039205551147;0,082331657409668;"GPFDA"
0,208709228036402;100;9,12447452545166;0,180367946624756;"Algo"
NA;NA;0;0,00142073631286621;"One GP"
0,0981088851985414;100;3,80097317695618;0,150723457336426;"GPFDA"
1,23265003243505;100;17,8048436641693;0,137067079544067;"Algo"
NA;NA;0;0,00172138214111328;"One GP"
3,59371237873001;100;2,28555727005005;0,119482755661011;"GPFDA"
0,100257979853629;100;9,12904143333435;0,118262529373169;"Algo"
NA;NA;0;0,00159144401550293;"One GP"
0,220630093413216;100;4,31050992012024;0,0925760269165039;"GPFDA"
0,376905506108653;100;8,89569926261902;0,121147394180298;"Algo"
NA;NA;0;0,00162005424499512;"One GP"
0,789636121424666;100;4,50389409065247;0,0832171440124512;"GPFDA"
1,53963653318205;100;8,21156644821167;0,105386734008789;"Algo"
NA;NA;0;0,00145506858825684;"One GP"
2,68661068057773;100;5,05074763298035;0,1563880443573;"GPFDA"
0,266626478039845;96,6666666666667;9,34361577033997;0,259989500045776;"Algo"
NA;NA;0;0,00142025947570801;"One GP"
0,221314332161967;100;5,40991187095642;0,0793952941894531;"GPFDA"
2,31640923365421;100;9,28937911987305;0,105289459228516;"Algo"
NA;NA;0;0,00142264366149902;"One GP"
5,87419370393037;100;3,03385758399963;0,0797317028045654;"GPFDA"
0,3750727211528;100;8,72915697097778;0,104992628097534;"Algo"
NA;NA;0;0,00144267082214355;"One GP"
0,285654971424962;100;4,68232393264771;0,0927598476409912;"GPFDA"
0,14233822363762;100;8,79382586479187;0,103875637054443;"Algo"
NA;NA;0;0,00140142440795898;"One GP"
0,134405799997367;100;3,2270302772522;0,0797703266143799;"GPFDA"
0,168881901444858;100;9,51918435096741;0,104188919067383;"Algo"
NA;NA;0;0,00140500068664551;"One GP"
0,265909777882421;100;4,365647315979;0,0821690559387207;"GPFDA"
1,0432261778506;100;8,02148699760437;0,105286359786987;"Algo"
NA;NA;0;0,00140786170959473;"One GP"
2,82406512432725;100;4,58320713043213;0,0927863121032715;"GPFDA"
0,0711251415898708;100;9,49614500999451;0,103991746902466;"Algo"
NA;NA;0;0,0014033317565918;"One GP"
0,051985369662288;100;2,13926458358765;0,0793442726135254;"GPFDA"
0,321719740856111;100;8,93130588531494;0,104030132293701;"Algo"
NA;NA;0;0,00138258934020996;"One GP"
0,144407698146197;100;2,74155426025391;0,0784294605255127;"GPFDA"
4,34100652868248;100;10,4062151908875;0,10544490814209;"Algo"
NA;NA;0;0,00152087211608887;"One GP"
13,5133083200676;100;5,07535862922668;0,0950818061828613;"GPFDA"
0,4013680471297;93,3333333333333;8,74933052062988;0,103976249694824;"Algo"
NA;NA;0;0,00139927864074707;"One GP"
0,286955483292902;100;3,55866408348083;0,0789105892181396;"GPFDA"
1,06417335838526;100;10,2039723396301;0,170846939086914;"Algo"
NA;NA;0;0,00138688087463379;"One GP"
3,16142059766385;100;4,19052910804749;0,0801393985748291;"GPFDA"
1,06248743258023;100;10,7909581661224;0,105205535888672;"Algo"
NA;NA;0;0,0013885498046875;"One GP"
4,34118622973583;100;4,66589093208313;0,117383003234863;"GPFDA"
0,0494453267044207;100;12,1357333660126;0,103927135467529;"Algo"
NA;NA;0;0,00138425827026367;"One GP"
0,0364409981347825;100;2,77839684486389;0,0797340869903564;"GPFDA"
0,362767209378115;40;121,347492933273;0,104732275009155;"Algo"
NA;NA;0;0,00137877464294434;"One GP"
0,115770343680469;100;6,62628197669983;0,0831449031829834;"GPFDA"
1,37853756334232;100;8,05628347396851;0,105938196182251;"Algo"
NA;NA;0;0,00153875350952148;"One GP"
2,25248098218707;100;6,34246969223022;0,0987474918365479;"GPFDA"
0,568616820959132;80;9,04726886749268;0,104083776473999;"Algo"
NA;NA;0;0,00138211250305176;"One GP"
0,827994993605967;100;4,47348785400391;0,081183910369873;"GPFDA"
0,417931127115546;100;9,62132000923157;0,104912996292114;"Algo"
NA;NA;0;0,00143027305603027;"One GP"
0,884226525146228;100;3,2364776134491;0,0787646770477295;"GPFDA"
0,120967935178378;96,6666666666667;9,29251503944397;0,105414390563965;"Algo"
NA;NA;0;0,00152683258056641;"One GP"
0,036729352709101;100;2,44514203071594;0,093998908996582;"GPFDA"
0,337433742484836;100;9,24488067626953;0,104612588882446;"Algo"
