"";"MSE";"Ratio_IC";"Time_train";"Time_pred";"Method";"M"
"1";58,7110629567887;0;37,8549239635468;0,0571112632751465;"Algo";6
"2";NA;NA;0;0,002044677734375;"One GP";6
"3";2,34475507213623;100;2,06003594398499;0,0652632713317871;"GPFDA";6
"4";1,65243781626448;100;21,8204371929169;0,0399274826049805;"Algo";6
"5";NA;NA;0;0,00183916091918945;"One GP";6
"6";5,23851785783444;100;1,48964309692383;0,0683374404907227;"GPFDA";6
"7";18,5069853679727;0;32,9161131381989;0,0558977127075195;"Algo";6
"8";NA;NA;0;0,00211811065673828;"One GP";6
"9";24,8369908489178;100;0,662034273147583;0,0572688579559326;"GPFDA";6
"10";1,19952008821638;100;11,8399345874786;0,0437610149383545;"Algo";6
"11";NA;NA;0;0,00187873840332031;"One GP";6
"12";7,91044054790594;100;1,40585088729858;0,0542805194854736;"GPFDA";6
"13";27,8882216687837;13,3333333333333;45,5612859725952;0,0386514663696289;"Algo";6
"14";NA;NA;0;0,00178933143615723;"One GP";6
"15";3,88175981753307;100;1,84130239486694;0,0504477024078369;"GPFDA";6
"16";5,89822763290912;70;32,7771496772766;0,037261962890625;"Algo";6
"17";NA;NA;0;0,00174593925476074;"One GP";6
"18";2,32327349153412;96,6666666666667;1,78420734405518;0,0586450099945068;"GPFDA";6
"19";1,01195747481816;100;17,5026769638062;0,0379157066345215;"Algo";6
"20";NA;NA;0;0,00177693367004395;"One GP";6
"21";1,74874442301722;100;1,72887516021729;0,0703604221343994;"GPFDA";6
"22";4,42462522855199;100;18,0281453132629;0,111849546432495;"Algo";6
"23";NA;NA;0;0,00179648399353027;"One GP";6
"24";6,61475511146111;100;1,29675555229187;0,0504846572875977;"GPFDA";6
"25";12,1691499463929;60;17,3042221069336;0,0372791290283203;"Algo";6
"26";NA;NA;0;0,0017702579498291;"One GP";6
"27";7,27284447237036;100;2,65614581108093;0,051802396774292;"GPFDA";6
"28";32,5747688798536;20;14,1794810295105;0,0442039966583252;"Algo";6
"29";NA;NA;0;0,00249004364013672;"One GP";6
"30";19,4390828787883;100;0,943893432617188;0,0683612823486328;"GPFDA";6
"31";9,29271206781791;100;18,6179571151733;0,0390110015869141;"Algo";6
"32";NA;NA;0;0,00183010101318359;"One GP";6
